State,Year,Area,Production,Yield (Tonne/Hectare),Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,NDVI_SeasonalMean,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Chandigarh,2011,600,2725,4.54,Kharif,28.54581967213115,32.636721311475405,24.65122950819672,1120.7,2415.25,73.59778688524591,1.6708196721311477,0.5050329342243784,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2011,600,2725,4.54,Rabi,18.84254716981132,26.39858490566038,13.19245283018868,81.17,3551.99,46.76957547169811,1.7133962264150944,0.38336348309297524,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2012,575,2590,4.5,Kharif,30.87188524590164,35.985163934426225,26.06286885245901,761.14,2549.54,58.65032786885246,1.8951639344262297,0.4571699416363171,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2012,575,2590,4.5,Rabi,18.925164319248825,26.7749765258216,13.223896713615025,87.2,3528.42,41.122769953051645,1.888967136150235,0.3800363806016983,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2013,575,2600,4.52,Kharif,28.820409836065576,32.81147540983606,24.909918032786884,1174.1,2440.15,72.61442622950818,1.5352459016393445,0.5229577745333753,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2013,575,2600,4.52,Rabi,18.963962264150943,26.33570754716981,13.638632075471698,223.1,3406.2,49.07466981132075,1.8521698113207548,0.41297330274325056,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2014,550,2500,4.55,Kharif,31.703524590163934,37.26303278688525,26.480737704918035,557.51,2623.93,51.82754098360656,2.0229508196721318,0.4744725578657601,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2014,550,2500,4.55,Rabi,18.753301886792453,26.376603773584907,13.247311320754717,266.69,3408.74,46.53712264150944,1.872877358490566,0.41003432095146275,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2015,550,2530,4.6,Kharif,29.421639344262296,34.33295081967213,24.787950819672133,840.64,2563.15,62.88696721311475,1.7577868852459015,0.49344790738988775,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2015,550,2530,4.6,Rabi,19.41617924528302,26.784575471698112,14.022783018867925,278.99,3382.2,47.27948113207548,1.8676415094339625,0.43233304266794625,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2016,550,2585,4.7,Kharif,30.18532786885246,34.943360655737706,25.51270491803279,712.46,2542.28,63.45172131147541,1.5940983606557375,0.4958072924372616,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2016,550,2585,4.7,Rabi,20.75230046948357,28.93037558685446,14.938075117370891,116.72,3564.83,34.851361502347416,1.9136150234741784,0.3642333330809911,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2017,546,2566,4.7,Kharif,29.200327868852455,33.70877049180328,24.90745901639344,991.37,2491.03,67.66360655737704,1.6227049180327868,0.46797826112857793,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2017,546,2566,4.7,Rabi,19.83452830188679,27.70481132075472,14.153207547169812,193.66,3556.26,42.65971698113208,1.9210849056603772,0.4035156813719912,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2018,546,2730,5.0,Kharif,28.78844262295082,32.89368852459017,24.914836065573773,1270.35,2306.17,72.85770491803278,1.7394262295081968,0.5092124430056052,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2018,546,2730,5.0,Rabi,19.198679245283017,26.844669811320752,13.57504716981132,122.39,3634.3,45.88849056603774,1.8907075471698112,0.4103721290289392,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2019,546,2457,4.5,Kharif,30.270737704918037,34.93459016393442,25.798688524590165,849.83,2466.68,63.88409836065573,1.6586065573770492,0.5041336443869856,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2019,546,2457,4.5,Rabi,18.05938679245283,25.00839622641509,12.940424528301886,263.17,3244.63,54.88150943396226,1.7711792452830188,0.43848020128890897,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
