State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,NDVI,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Chandigarh,2011,600,2725,4.54,,23.694183420971235,29.51765310856789,18.9218411691927,1201.8700000000001,2983.62,60.183681178472014,1.692107949273121,0.4441982086586769,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2012,575,2590,4.5,,24.89852478257523,31.380070230123913,19.64338278303702,848.34,3038.98,49.88654891095205,1.8920655352882323,0.4186031611190077,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2013,575,2600,4.52,,23.892186050108258,29.573591478502937,19.27427505412929,1397.1999999999998,2923.175,60.844548020414464,1.6937078564800494,0.467965538638313,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2014,550,2500,4.55,,25.228413238478193,31.819818280235076,19.864024512836377,824.2,3016.335,49.182331812558004,1.9479140890813487,0.44225343940861145,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2015,550,2530,4.6,,24.418909294772657,30.55876314568512,19.40536691927003,1119.63,2972.675,55.08322417259511,1.8127141973399319,0.462890475028917,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2016,550,2585,4.7,,25.468814169168013,31.936868121296083,20.22539001770184,829.1800000000001,3053.5550000000003,49.15154140691141,1.753856692064958,0.4300203127591264,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2017,546,2566,4.7,,24.517428085369623,30.706790906278997,19.530333281781626,1185.03,3023.6450000000004,55.16166176925456,1.771894911846582,0.43574697125028455,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2018,546,2730,5.0,,23.99356093411692,29.86917916795546,19.244941617692547,1392.74,2970.235,59.373097742035256,1.815066888339004,0.4597922860172722,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2019,546,2457,4.5,,24.16506224868543,29.97149319517476,19.369556526446026,1113.0,2855.6549999999997,59.382803897308996,1.714892901330034,0.4713069228379473,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2020,547,2735,5.0,,23.77451108289079,29.85107173093204,18.90909201108289,1125.29,3017.245,59.78094108366043,1.7612847302393595,0.4786816968096348,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
Chandigarh,2021,547,2735,5.0,,24.418658366841946,30.480325162387878,19.486135555211877,1150.42,2978.415,57.56654500463965,1.753538509124652,0.4654265015552471,2.126695009944596,2.0,2.0,6.25,0.38420373556564835
